Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Rakesh Chauhan,Aam Janta Party (India),0,8th Pass,41,9570500,0
Sanjeev Kumar Upadhyay,Rashtriya Jan Gaurav Party,0,Graduate Professional,32,115000,0
Santosh Kumar Singh,Bharatiya Nav Kranti Party,0,Graduate Professional,54,1140000,0
Vijay Kumar Pathak,AAP,0,10th Pass,47,17268598,3695721
Achchey Lal,AAP,0,Post Graduate,47,2514478,0
Anand Dubey,BSP, 3 ,10th Pass,42,56203000,19000000
Ashok Kumar,Vikassheel Insaan Party, 1 ,Graduate,45,73322406,0
Atul Dubey,Bharatiya Samta Samaj Party,0,12th Pass,34,674000,0
Dr R.K. Patel,Apna Dal (Soneylal),0,Post Graduate,51,92031993,18403125
Meera Pandey,INC,0,12th Pass,50,10492661,140000
Niharika Gautam,Bharatrashtra Democratic Party,0,12th Pass,38,199500,0
Ramdhari Pal,Rashtriya Samaj Paksha,0,12th Pass,39,716000,0
Santosh Kumar Nishad,IND,0,Graduate Professional,47,1890000,0
Satesh Kumar Shukla,Log Party,0,Graduate Professional,31,3300000,0
Sushil Kumar Patel,JD(U),0,Post Graduate,48,6420000,0
Sushma Patel,SP,0,Doctorate,35,23697700,3480000
Achchhelal,Rashtra Uday Party,0,Post Graduate,55,507000,0
Dr. Ragini,SP,0,Post Graduate,31,109188544,49394118
Mala Devi,INC,0,Graduate,29,6165000,0
Mehi Lal,BJP,0,Literate,53,770500,0
Palak Dhari,Peoples Party of India (Democratic), 1 ,10th Pass,59,4883500,0
Premchand Gautam,AAP,0,12th Pass,31,179181,0
Rang Bahadur,Jan Adhikar Party,0,Graduate Professional,48,650000,0
S. P. Manav,Aazad Samaj Party (Kanshi Ram),0,Post Graduate,35,70000,0
Satya Prakash,Bharatrashtra Democratic Party,0,10th Pass,74,460000,0
Vijay Kumar,BSP,0,Post Graduate,50,4576500,0
Ajay Kumar,Moolniwasi Samaj Party,0,8th Pass,46,3017535,0
Ajay Shankar Dubey,BJP, 1 ,Post Graduate,42,76399635,7359434
Anil Kumar,IND,0,Post Graduate,39,2089000,0
Dinesh Kumar Shukla,BSP,0,Graduate Professional,39,31868920,11892576
Jitendra Kumar,Bharatrashtra Democratic Party,0,12th Pass,38,555000,0
Jyoti Prakash,IND,0,5th Pass,40,2114000,0
Madhavendra Pratap,SHS,0,Graduate Professional,40,189000,55000
Mattu Lal,Vikassheel Insaan Party,0,Illiterate,39,2863000,0
Mustak Ahamad,Log Party,0,8th Pass,34,1110000,0
Neelam Kumar,Samaj Parivartan Party,0,12th Pass,62,600000,0
Pankaj,SP,0,Graduate Professional,36,2210000,0
Pramod Kumar Singh,INC,0,Post Graduate,50,19255279,5429307
Ramjan Ali,All India Majlis-E-Ittehadul Muslimeen,0,Graduate,30,3186400,0
Sushil Kumar,Moulik Adhikar Party,0,Graduate,32,4962250,50000
Vyanktesh Bahadur,Bhartiya Dharmanirpeksha Party,0,12th Pass,41,8148139,90000
Avanish Tiwari Prince,Log Party,0,Graduate,31,385000,0
Dhananjay Singh,JD(U), 10 ,Post Graduate,46,233990165,11112681
Jay Prakash,AAP,0,12th Pass,26,449500,0
Krishna Pratap Singh K.P.,BJP,0,Doctorate,45,115504324,7483557
Lucky Yadav,SP, 7 ,Graduate,37,179667430,4455100
Manoj Yadav,Bahujan Mukti Party,0,8th Pass,37,0,0
Mustakim,IND,0,12th Pass,50,861000,0
Naveen Kumar,Voters Party International,0,Graduate,33,263901,0
Pushpa Shukla,INC,0,Graduate,53,20280000,0
Rahul Singh,Bharat Swabhiman Party,0,12th Pass,39,730000,0
Shailendra Yadav,BSP,0,Post Graduate,45,19887072,1698473
Vishal Pandey,Bhartiya Dharmanirpeksha Party,0,10th Pass,31,27989000,150000
Abhayraj,All India Majlis-E-Ittehadul Muslimeen, 1 ,12th Pass,54,2237000,0
Akhilesh Kumar Singh,IND,0,10th Pass,58,11070000,0
Aman Khan,IND,0,12th Pass,38,20179461,1168000
Anjoo,Vikassheel Insaan Party,0,Post Graduate,27,8975000,0
Ashish Kumar,Rashtravadi Vikas Party,0,Graduate,36,3935171,0
Brijesh,Bharatrashtra Democratic Party,0,12th Pass,32,1142000,0
Chandramani Pandey,Rashtriya Samaj Paksha,0,Graduate,59,3560000,0
Dinesh Singh(Rinku Bhaiya),Jansatta Dal Loktantrik,0,12th Pass,37,65721346,795837
Dr Vinod Kumar Singh Vats,AAP,0,Doctorate,50,30217200,0
Er.Vivek Maurya,Jan Adhikar Party,0,Graduate Professional,38,10537407,0
Girish Chandra Yadav,BJP, 1 ,Graduate Professional,48,6990792,0
Ishwar Dayal Singh Seth,Bhartiya Sabka Dal,0,12th Pass,60,1015000,0
Meethaee Lal,Peoples Party of India (Democratic), 1 ,Graduate,63,4346509,0
Mohd. Arshad Khan,SP, 1 ,Post Graduate,63,12531628,44332
Nadeem Javed,INC, 5 ,Post Graduate,45,16353000,0
Pravin,SUCI(C),0,10th Pass,70,2612618,70000
Radha Krishna,IND,0,12th Pass,45,155000,0
Ram Kesh Yadav,Bahujan Mukti Party,0,Graduate,60,15172901,0
Saleem Khan,BSP,0,8th Pass,42,5045941,250000
Shashi Dubey,SHS,0,Graduate,42,516158,0
Sunil Kumar Upadhyay,Rashtriya Jan Gaurav Party,0,Post Graduate,36,62000,0
Vijay Kumar Upadhyay,IND, 1 ,Graduate,46,10861644,222982
Vikas Kumar Pandey,Aam Janta Party (India),0,Post Graduate,36,1505950,0
Vishal,IND,0,Graduate Professional,33,85000,0
Yashwant Kumar Gupta,Gandhiyan Peoples Party,0,Graduate,51,15257000,5000000
Indar Dev,BSP, 2 ,10th Pass,57,126973000,12620598
Jitendra Kumar,Bharatrashtra Democratic Party,0,Graduate,38,62000,0
Kapil Dev,SHS,0,10th Pass,37,269200,0
Nayab Ahmad Khan,All India Majlis-E-Ittehadul Muslimeen, 1 ,Post Graduate,35,360167,0
Parvez Alam,INC,0,Others,55,8487277,4707556
Ram Pratap,Bharatiya Nav Kranti Party,0,Post Graduate,42,2410000,0
Ram Sumer,Moulik Adhikar Party,0,8th Pass,51,1324900,0
Ramanuj,Vikassheel Insaan Party, 2 ,Graduate,36,3601000,0
Ramesh,Nirbal Indian Shoshit Hamara Aam Dal, 3 ,Graduate,42,72139456,43548559
Shailendra Yadav Lalai,SP, 5 ,Graduate,56,188079788,2820000
Suresh Rajbhar,Aapki Apni Party (Peoples),0,8th Pass,41,4433000,0
Vinod,IND, 1 ,10th Pass,46,12794541,0
Vinod Kumar,AAP,0,Graduate,35,7997200,0
Anil Kumar Singh,Hum Sabki Party,0,10th Pass,53,170000,0
Arti Singh,INC,0,Post Graduate,34,21307500,0
Hari Prasad Shukla,IND,0,Post Graduate,44,2440770,0
Manoj,BSP, 4 ,Doctorate,48,108350000,2200000
Omprakash Baba Dubey,SP, 4 ,10th Pass,58,58663354,14642711
Rahul Sharma,AAP,0,12th Pass,33,22406500,528000
Rajesh Vishwakarma,Jan Adhikar Party,0,12th Pass,30,1301601,0
Ram Govind Singh,SUCI(C),0,12th Pass,61,3630535,0
Ramesh Chandra Mishra,BJP,0,10th Pass,44,24220176,0
Sabhajeet,IND, 2 ,Post Graduate,59,2052000,0
Seema Jaiswal,Rashtriya Samaj Paksha,0,Literate,37,2051000,0
Subedar Gautam,Bharatrashtra Democratic Party,0,Graduate Professional,26,10145000,0
Sumit Singh,Vikassheel Insaan Party,0,12th Pass,29,59500,0
Sushma Mishra,Bhartiya Dharmanirpeksha Party,0,Graduate,46,8639583,1400000
Chandra Shekher Tiwari,INC,0,Post Graduate,63,37425411,460000
Dasharath Singh Rajpoot,BSP,0,Literate,56,42737117,9000000
Hareeom,IND,0,8th Pass,40,10460835,605969
Jayram Pal,IND,0,8th Pass,39,310000,0
Keshav Singh,Aazad Samaj Party (Kanshi Ram),0,8th Pass,35,575000,0
Rajeev Singh (Parichha),BJP, 2 ,10th Pass,45,93257588,6924019
Rajkumar,IND,0,12th Pass,32,1955000,0
Ramsingh Pal,Rashtriya Samaj Paksha,0,8th Pass,49,1582582,0
Rani Devi,Jan Adhikar Party,0,Literate,38,2478500,0
Shiroman Singh Rajpoot,SHS,0,10th Pass,49,2089170,0
Yashpal Singh Yadav,SP,0,Post Graduate,38,707404691,133863643
Anoop Singh,IND,0,12th Pass,36,185889,0
B.L. Bhaskar,AAP,0,Post Graduate,51,3570731,0
Dhirendra Kumar Mahor,Rashtriya Sarvajan Party,0,Graduate Professional,50,122000,0
Kailash Sahu,BSP,0,Post Graduate,46,35349057,871937
Rahul Richhariya,INC, 1 ,Post Graduate,48,111862061,39726109
Ravi Sharma,BJP, 2 ,Graduate Professional,52,98653552,44802372
Sadik Ali,All India Majlis-E-Ittehadul Muslimeen,0,Illiterate,51,85761122,2542000
Sanjeev Kumar Singh,Right to Recall Party,0,Graduate Professional,38,4132877,0
Sharad Pratap Singh,Bundelkhand Kranti Dal,0,Graduate Professional,36,630000,0
Sita Ram Kushwaha,SP, 1 ,12th Pass,75,38980580,2100000
Bhagwandas,INC,0,5th Pass,49,3879500,750000
Brajkuwar,Jan Adhikar Party,0,5th Pass,37,3095000,0
Ghanashyam Das,Swatantra Jantaraj Party,0,Post Graduate,61,53150000,2400000
Jitendra Kumar,IND,0,12th Pass,33,2621000,0
Manohar,Bhartiya Shakti Chetna Party,0,8th Pass,41,1818000,450000
Meena Kumari,SHS,0,Graduate,49,14650174,0
Mohan Lal Singarya,AAP,0,Graduate Professional,61,6054206,1279000
Rashmi Arya,Apna Dal (Soneylal),0,Doctorate,44,73114299,1799495
Rohit Ratan,BSP, 2 ,Graduate,40,29201692,2000000
Tilak Chandra Ahirwar,SP,0,Graduate,54,59866450,10237963
Arun Kumar,IND,0,Post Graduate,34,3625039,0
Bira Singh,BSP, 1 ,Graduate Professional,49,26709386,2300000
Deep Narayan Singh (Deepak Yadav),SP, 4 ,Graduate,52,362246481,70588698
Gauri Shankar Bidua,Kisan Raksha Party, 2 ,12th Pass,46,3031206,0
Gyadeen,IND,0,10th Pass,67,604584,0
Jawahar Lal Rajput,BJP, 1 ,Graduate Professional,59,29198354,3210060
Krishna Kumar,IND,0,Post Graduate,32,401100,0
Manvendra Singh,IND, 1 ,10th Pass,39,3053000,82000
Neha,INC,0,12th Pass,33,8375374,0
Poonam Singh,Akhil Bharatiya Socialist Party,0,12th Pass,26,32300,0
Prem Kumari Khangar,IND,0,5th Pass,37,402000,0
Pushpendra Lodha Chandar,AAP,0,Post Graduate,32,316446,0
Pushpendra Singh,IND,0,Graduate Professional,36,2177000,0
Rajendra Pal,Jan Adhikar Party,0,Post Graduate,42,4800000,0
Amol Dixit,IND,0,Post Graduate,39,712885,0
Ankit Kumar Pal,Rashtriya Samaj Paksha,0,Graduate,29,630000,0
Archana Pandey,BJP,0,Post Graduate,62,50849357,911569
Arjuman,Bahujan Mukti Party,0,Post Graduate,35,5863200,360000
Arvind Singh Yadav,SP, 3 ,Graduate,52,69469155,0
Dr Chandra Kant Yadav,AAP, 1 ,Doctorate,41,2098700,600000
Imran Vegam,IND,0,5th Pass,34,206000,0
Laloo Yadav,Voters Party International,0,8th Pass,35,742800,0
Mohd Chandan,Jan Adhikar Party,0,Graduate,33,575000,0
Mohd. Kamar,IND,0,Post Graduate,28,580000,0
Nurul Shams,IND,0,Post Graduate,57,1291000,0
Sanjay,IND,0,Post Graduate,45,1209127,0
Vijay Kumar,INC, 1 ,Post Graduate,39,29206970,7500000
Waheeda Bano Alias Juhi Sultan,BSP,0,Graduate,54,15975291,200000
Ajay Kumar,BSP,0,Graduate,48,13987074,949771
Anil Kumar Pal,SP, 1 ,Graduate Professional,47,13145589,1900000
Gaya Prasad,IND,0,Graduate,58,9127000,250000
Geeta Devi,AAP,0,8th Pass,57,5096528,71000
Kailash Rajput,BJP, 1 ,Graduate Professional,63,36141099,4580421
Rajendra Kumar,Jan Adhikar Party,0,Graduate,50,2095000,90000
Ram Sharan Rajput,Vikas Insaf Party,0,Doctorate,63,2503000,600000
Rampal Singh,Aazad Samaj Party (Kanshi Ram),0,Graduate,59,21470600,0
Ranjana Singh,IND,0,Graduate,29,1789256,0
Ruvinaj,Bhartiya Vanchitsamaj Party,0,8th Pass,29,342500,0
Satya Prakash,IND,0,8th Pass,58,1741000,0
Anil Kumar Doharey,SP,0,Graduate Professional,60,17882193,1630464
Asim Arun,BJP,0,Post Graduate,51,82772217,0
Manoj,IND,0,10th Pass,51,2315475,0
Raj Katheria,IND,0,Graduate Professional,38,774055,0
Samar Jeet Dohare,BSP,0,12th Pass,49,22585500,0
Sunil,IND,0,Post Graduate,35,615000,0
Sunil Kumar,All India Majlis-E-Ittehadul Muslimeen,0,Graduate Professional,39,6610000,850000
Vineeta Devi,INC,0,Graduate,26,1145000,0
B.D. Kamalvanshi,IND,0,Post Graduate,63,15508606,0
Kamlesh Chandra Diwakar,SP, 5 ,Post Graduate,56,111014656,16645210
Manorama,INC,0,10th Pass,26,574500,0
Neelam,IND,0,Post Graduate,52,842296,0
Om Prakash,Bahujan Mukti Party,0,Graduate,57,4015000,200000
Poonam Sankhwar,BJP,0,Post Graduate,44,35883431,1500000
Rakesh Babu,Voters Party International,0,Graduate,59,1260000,0
Ram Sajeevan,IND,0,Literate,32,850000,0
Ram Sumer,IND,0,10th Pass,48,14530500,0
Santoshi Lal Kamal,IND,0,Post Graduate,61,28643432,0
Sima Singh,BSP,0,Post Graduate,47,6054794,0
Ambrish Singh Gaur,INC, 3 ,Graduate,45,6392432,1938350
Brij Bhushan,IND,0,Post Graduate,54,6885000,0
Dr. Ram Prakash Kushwaha,SP, 4 ,Doctorate,64,142694433,11084547
Kamlesh Kumar,Jan Adhikar Party,0,Graduate Professional,48,1651000,0
Nausad Babu,Peace Party,0,Post Graduate,33,1060000,0
Pratibha Shukla,BJP, 1 ,Post Graduate,61,46446927,270386
Rajesh Kumar,Peoples Party of India (Democratic),0,10th Pass,47,293779,95040
Rameshwar,IND,0,5th Pass,51,773515,0
Vinod Kumar Pal,BSP, 2 ,8th Pass,53,56662000,1233115
Vipin Kumar,IND,0,12th Pass,37,10872100,1000000
Vivesh Kumar,AAP, 1 ,Graduate Professional,34,17802447,0
Ajit Singh Pal,BJP,0,Post Graduate,43,28031251,718462
Lal Ji,BSP,0,Graduate,54,11137424,2250000
Mahboob,Aazad Samaj Party (Kanshi Ram),0,12th Pass,35,8950000,0
Man Singh,Voters Party International,0,12th Pass,61,423000,0
Naresh Chandra,INC,0,10th Pass,58,74020000,17500000
Neeraj,AAP, 1 ,10th Pass,45,23143067,525000
Prabhakar Pandey,SP,0,12th Pass,40,57698323,4222489
Ram Govind,SUCI(C),0,Doctorate,47,8223386,95000
Satish Singh Nayak,IND,0,10th Pass,44,570500,50000
Satyendra Prakash,Jan Adhikar Party, 1 ,Graduate Professional,52,9157709,0
Shishupal,IND,0,8th Pass,53,1345000,0
Shubham Pal,IND,0,Graduate,28,7438027,0
Ajendra Singh,Aazad Samaj Party (Kanshi Ram),0,Doctorate,42,721916,0
Ashutosh,AAP, 1 ,Post Graduate,50,35391878,0
Govind Kumar,INC,0,12th Pass,30,4811500,200000
Jagram Singh,IND,0,Graduate,63,2499728,0
Juned Khan,BSP, 1 ,Graduate Professional,39,3013933,712000
Laxmi Narayan,IND,0,12th Pass,50,372100,0
Narendra Pal Singh,SP,0,Graduate Professional,56,47617059,3800000
Rakesh Sachan,BJP, 6 ,Post Graduate,66,375424114,81778692
Randheer,Peace Party,0,12th Pass,54,9965000,462000
Arkeshwar Sahai,IND,0,Graduate Professional,33,188000,0
Madhu Singh Gautam,BSP,0,Post Graduate,46,9242396,0
Mohit Sonkar,BJP, 3 ,Graduate Professional,32,8534168,0
Monu Babu,Voters Party International,0,12th Pass,31,240000,0
Rachna Singh,SP, 5 ,12th Pass,25,7986201,1400000
Ramdas,IND,0,Not Given,52,20000,0
Satyendra,AAP,0,Graduate Professional,42,19362759,5600000
Shravan Kumar,Bhartiya Shakti Chetna Party,0,12th Pass,50,584920,30000
Udan Lal,IND,0,12th Pass,45,967000,0
Usha Rani,INC,0,Graduate,48,10233200,2983807
Abhijeet Singh,BJP, 5 ,Graduate,39,63979334,5026198
Ashok Kumar,INC, 1 ,10th Pass,52,10346433,0
Chandra Pal,Rashtriya Samaj Paksha,0,12th Pass,52,6420000,1700000
Kiran,Jan Adhikar Party,0,Post Graduate,42,10698137,0
Munindra Shukla,SP, 3 ,12th Pass,63,24143740,1107656
Puneet Kumar,Bhartiya Shakti Chetna Party,0,Post Graduate,36,1910243,120000
Ramesh Singh Yadav,BSP, 1 ,Graduate,54,132681320,10015287
Som Nath Pal,AAP,0,10th Pass,47,215000,1801923
Anoop Katiyar,SUCI(C),0,Graduate Professional,43,3858444,0
Aroon Kumar,AAP,0,Graduate,68,31884976,0
Arun Mishra,BSP,0,12th Pass,53,11269352,1900000
Ashok Kumar,RASHTRIYA VIKLANG PARTY,0,8th Pass,50,2018346,0
Heera Devi,Bhartiya Shakti Chetna Party,0,8th Pass,51,23889848,9677267
Neelima Katiyar,BJP, 1 ,Post Graduate,49,30546316,952836
Neha Tiwari,INC,0,Post Graduate,30,349000,0
Satish Kumar Nigam,SP,0,Post Graduate,60,100076530,1200000
Ashok Kumar Kaliya,BSP,0,10th Pass,58,717885,0
Karishma Thakur,INC, 1 ,Graduate,27,1801000,0
Kawardeep Singh,AAP,0,Graduate,42,68578151,0
Santosh Kumar Giri,"Proutist Bloc, India", 1 ,8th Pass,54,523200,0
Surendra Maithani,BJP, 2 ,Graduate Professional,56,101515257,7234665
Vikas Yadav,SP, 1 ,Post Graduate,28,1184410,267002
Alok Kumar,IND,0,8th Pass,56,136741,0
Hajee Suhel Ahamad,INC, 7 ,10th Pass,45,4782995,0
Haji Irfan Solanki,SP, 3 ,12th Pass,42,93889400,0
Laddan,Lok Dal,0,Illiterate,41,55988,0
Rajnish Tiwari,BSP,0,Graduate,56,929228,0
Salil Vishnoi,BJP,0,Graduate Professional,66,55709356,0
Shrimati Madhuri,Bahujan Party,0,10th Pass,39,45000,0
Sunil Babu,AAP, 2 ,Graduate,56,6199440,2800000
Amitabh Bajpai,SP, 2 ,Post Graduate,48,66012508,1509769
Anuj Kumar Shukla,AAP,0,Post Graduate,37,5102431,0
Guddi Dixit,RASHTRIYA VIKLANG PARTY,0,8th Pass,49,60000,0
Pawan Kumar Tiwari,IND,0,Post Graduate,44,129116,0
Pramod Kumar,INC,0,Graduate,70,457834861,0
Suresh Awasthi,BJP, 2 ,Post Graduate,57,75253233,650000
Toni Jaiswal,BSP,0,Post Graduate,42,11907989,1500000
Abhimanyu,SP, 1 ,Post Graduate,38,13681384,4003372
Ajay Kapoor,INC, 2 ,Graduate,56,694617271,99354343
Alok Kumar,Sabhi Jan Party, 7 ,Post Graduate,41,315963,0
Mahesh Kumar Trivedi,BJP,0,Graduate,54,83593104,0
Mohan Mishra,BSP,0,Post Graduate,39,17910415,0
Pawan Kumar Tiwari,SHS,0,Post Graduate,34,5769000,998895
Rakesh Kumar Dixit,Jan Sangh Party,0,12th Pass,59,3085200,166000
Seema Uttam,Bhartiya Shakti Chetna Party,0,Post Graduate,47,9941000,2000000
Sitaram Shukla,IND,0,10th Pass,66,842809,0
Vivek Dwivedi,AAP, 1 ,Post Graduate,50,11692847,500000
Ashish Shukla,Bhartiya Samta Party,0,Graduate Professional,35,485000,0
Devi Prasad,IND,0,Graduate,61,5629528,450000
Jamsed,Jan Abhiyan Party,0,5th Pass,28,415000,0
Mohammad Hasan,SP,0,Post Graduate,56,21819310,950000
Mohammad Shafi,BSP, 5 ,8th Pass,43,1406969,0
Mohd Meraj,Rashtriya Ulama Council,0,8th Pass,36,292318,0
Moinuddin,All India Majlis-E-Ittehadul Muslimeen,0,12th Pass,55,2782948,497400
Mukesh Pal,Rashtriya Samaj Paksha,0,Graduate Professional,43,8356567,2200000
Raghunandan Singh Bhadauriya,BJP,0,Post Graduate,59,72607674,14108587
Ramesh,Akhil Bharatiya Socialist Party,0,10th Pass,35,2013700,0
Rashid Jamal,AAP, 1 ,Graduate Professional,44,22356721,4900000
Sohil Akhtar Ansari,INC, 1 ,10th Pass,58,26383379,0
Ankit Pal,Rashtriya Samaj Paksha,0,Graduate,25,1020000,480000
Avdhesh Kumar Gupta,Bhartiya Shakti Chetna Party,0,8th Pass,50,9489746,0
Fateh Bahadur Singh Gill,SP, 3 ,8th Pass,38,8463130,1016954
Kanishka Pandey,INC, 1 ,Graduate Professional,36,30773377,0
Praveen Kumar,IND,0,Graduate,61,191400,0
Rajendra Kumar Katheriya,Rashtriya Janutthan Party,0,10th Pass,38,35500,0
Ramakant Nishad,Vikassheel Insaan Party,0,Graduate,42,1550000,0
Satish Mahana,BJP,0,Graduate,61,241090087,5124477
Shashank Pandey,Jan Abhiyan Party,0,Graduate,28,349800,0
Surendra Pal Singh,BSP,0,Graduate,51,16016714,380000
Umesh Singh Yadav,AAP, 3 ,12th Pass,49,32690650,3949041
Vijay Kumar,IND,0,Illiterate,64,556299,0
Vishnu Kumar,Jan Adhikar Party,0,Post Graduate,35,353806,150000
Amit Kumar,IND,0,12th Pass,39,2475630,0
Ashok Paswan,Sabhi Jan Party,0,Post Graduate,45,27264254,0
Bhagwati Prasad,SP,0,Graduate Professional,66,58560728,0
Er. Sanjay Pal,AAP,0,Graduate Professional,47,7888000,1000000
Mamta Kushwaha,Jan Adhikar Party,0,Graduate,39,10838156,1000000
Munni Lal,Bhartiya Shakti Chetna Party,0,12th Pass,54,2614860,0
Prashant Ahirwar,BSP,0,Graduate,26,20757106,0
Raj Narayan,INC,0,12th Pass,49,9164449,3026083
Ramjeevan,Aazad Samaj Party (Kanshi Ram),0,8th Pass,52,2447000,0
Saroj,Apna Dal (Soneylal),0,Graduate Professional,50,138137164,4656000
Vipin Kumar,Arjak Adhikar Dal,0,Graduate,26,437000,0
Avdhesh,India Janshakti Party,0,10th Pass,50,17841700,952000
Devendra Singh,BJP, 2 ,10th Pass,57,24326701,0
Indrapal,Rashtriya Surya Prakash Party,0,10th Pass,59,1200500,0
Kuldeep Kumar,INC, 6 ,10th Pass,40,3480000,73160
Man Pal Singh,SP,0,Graduate Professional,83,60635125,0
Manpal,AAP,0,8th Pass,46,12680000,0
Mohd. Arif,BSP,0,12th Pass,47,19720716,4715174
Narendra Kumar,IND,0,10th Pass,35,475000,0
Prabhoo Dayal Rajpoot,Aazad Samaj Party (Kanshi Ram),0,Others,54,4942684,3657640
Prem Singh,IND,0,8th Pass,46,1180600,0
Rubi,Bahujan Mukti Party,0,Post Graduate,33,4945000,500000
Arjun Singh,Jan Adhikar Party,0,8th Pass,47,1764000,0
Ashish Kumar,India Janshakti Party,0,Graduate Professional,36,3083000,0
Divya Sharma,INC,0,12th Pass,38,3547634,750000
Hariom,BJP,0,12th Pass,37,21921218,427000
Jitendra,IND, 7 ,12th Pass,37,5702500,0
Kapil Kumar,IND,0,Graduate,27,1310000,0
Mahendra Pal Singh,IND,0,12th Pass,61,9730000,0
Manoj Kumar,AAP,0,10th Pass,33,21333000,3900000
Satyabhan,SP,0,10th Pass,59,32137235,7440000
Subhash Chandra,BSP, 7 ,12th Pass,46,8446858,0
Usha,IND,0,12th Pass,42,6727000,0
Vineet Shakya,IND,0,12th Pass,34,5596490,1600000
Abhay Pratap Singh,IND,0,Post Graduate,32,1370000,0
Akhalesh,IND,0,12th Pass,38,420000,0
Dhruv Mishra,IND,0,12th Pass,44,537500,0
Girish Chandra,Rashtriya Shoshit Samaj Party,0,12th Pass,51,940500,0
Jitendra Kumar,IND,0,Literate,46,4204000,0
Kallu Singh,Rashtriya Backward Party,0,12th Pass,57,1126000,0
Mamtesh Shakya,BJP,0,Graduate,49,37229387,0
Meera Rani,Bhartiya Shakti Chetna Party,0,Post Graduate,59,3860697,0
Mohd. Imran Ali,INC,0,Post Graduate,36,882010,250000
Nadira Sultan,SP,0,12th Pass,65,295159690,337000
Neeraj Kishore Mishra,BSP, 3 ,Doctorate,58,47986078,1941427
Vivek Kumar,Jan Adhikar Party,0,Graduate,44,9000000,0
Yusuf,AAP,0,Not Given,40,2180000,0
Arvind Singh,IND,0,12th Pass,50,3188607,1071626
Chheddu,IND,0,Literate,51,191000,0
Dhiraj Kumar,Bahujan Mukti Party,0,Graduate,28,185000,0
Dr. Pallavi Patel,SP,0,Graduate,41,33522994,887000
Gyan Singh,Sabka Dal United,0,Illiterate,44,4716996,0
Jeetendra Kumar,IND,0,Graduate,40,2144341,0
Keshav Prasad Maurya,BJP, 7 ,Graduate,53,80622296,9775819
Munsab Ali,BSP,0,12th Pass,44,2411000,100000
Pradeep Kumar,IND,0,Graduate,33,875000,0
Rajendra Sonkar (Panna Bhai),Lok Dal,0,Graduate,41,2898438,270000
Rajesh Kumar,SHS,0,10th Pass,38,135000,0
Sanjiv Kumar Panda,Rashtra Uday Party, 1 ,10th Pass,33,1015033,10000
Seema Devi,INC,0,Graduate Professional,30,7740879,87000
Shatrujeet Pal,Rashtriya Samaj Paksha,0,12th Pass,32,137000,0
Sher Mohammad,All India Majlis-E-Ittehadul Muslimeen, 2 ,Literate,41,29802000,0
Vijay Kumar,Samarth Kisan Party,0,12th Pass,41,2022500,0
Virendra Kumar Sahu,IND, 2 ,Graduate Professional,48,18038918,0
Vishnu Kumar,AAP, 1 ,10th Pass,51,9992620,0
Arun Vidyarthi Advocate,INC, 4 ,Graduate Professional,38,7007942,0
Balchandra,IND,0,8th Pass,37,230719,0
Harilal,IND,0,10th Pass,39,1109070,0
Indrajeet Saroj,SP, 1 ,Graduate,58,143343340,22737132
Laakhan Singh Rajpasi,Jan Adhikar Party,0,Post Graduate,55,1700000,0
Lal Bahadur,BJP, 1 ,Post Graduate,52,39715933,5311520
Neetu Kanojia,BSP, 1 ,Graduate Professional,42,47585591,27264768
Radheshyam Chaudhari,IND,0,Graduate,30,143762,0
Amrawati,IND,0,Post Graduate,41,202000,0
Anil Kumar Kesharwani,Jansatta Dal Loktantrik,0,10th Pass,49,7761453,0
Archana Gautam,IND,0,12th Pass,26,592100,0
Atul Kumar Dwivedi,BSP,0,Graduate Professional,37,54814746,7560000
Danish Ali,Bahujan Mukti Party, 7 ,Graduate Professional,33,1009622,0
Mohibbul Haque,All India Majlis-E-Ittehadul Muslimeen, 1 ,Graduate,49,54569038,1515000
Nagendra Pratap Singh Patel,Apna Dal (Soneylal), 2 ,Graduate,53,348622443,17023895
Pooja Pal,SP, 3 ,Graduate,42,172840421,14946208
Rajeev Kumar,LJP, 2 ,Post Graduate,36,2900000,0
Rajendra Kumar Singh Patel,Aazad Samaj Party (Kanshi Ram),0,Graduate,53,13220000,0
Sanjay Singh,IND,0,Graduate,41,3425000,0
Shashibhushan,Akhil Bharatiya Socialist Party, 2 ,Post Graduate,54,11274000,0
Sushil Chauhan,IND,0,10th Pass,47,4806686,0
Talat Azim,INC, 4 ,Graduate Professional,40,18110000,943464
Vijay Kumar Ramdas Ravidas,IND,0,Literate,30,2790500,0
Arti Rai,CPI(ML)(L),0,Graduate,56,15468000,350000
Dr. Jakir Husain,BSP,0,Graduate Professional,36,129093797,10673936
Harvinder Kumar Sahni Alias Romi Sahni,BJP,0,Graduate,57,288217066,40455075
Lalit Kumar Verma,AAP,0,Graduate,48,21161380,800000
Pritinder Singh Kakku,SP, 1 ,Literate,65,29982555,600000
Rishal Ahamad,INC, 1 ,12th Pass,44,3010000,0
Atal Kumar Shukla,INC, 3 ,Graduate Professional,53,17640768,647000
Chandra Pratap Lodhi,IND,0,Graduate,29,526500,0
Harish Verma,AAP,0,Post Graduate,29,1547000,0
Qamrul Huda,Jan Adhikar Party, 1 ,Graduate,54,182500,0
R A Usmani,BSP, 3 ,Doctorate,53,15388394,1941245
